"","type","listed_in","Count"
"1","Movie","Drama",870
"2","Movie","Comedy",442
"3","Movie","Drama, Suspense",349
"4","Movie","Comedy, Drama",338
"5","Movie","Documentary",300
"6","Movie","Action, Drama",277
"7","TV Show","TV Shows",263
"8","Movie","Horror",253
"9","Movie","Kids",226
"10","Movie","Action",216
"11","Movie","Arts, Entertainment, and Culture, Comedy, Special Interest",215
"12","Movie","Horror, Suspense",194
"13","Movie","Documentary, Special Interest",182
"14","Movie","Suspense",181
"15","Movie","Animation, Kids",180
"16","TV Show","Animation, Kids",176
"17","Movie","Drama, Romance",167
"18","Movie","Action, Suspense",136
"19","Movie","Action, Drama, Suspense",129
"20","TV Show","Drama",116
"21","TV Show","Documentary, Special Interest",114
"22","TV Show","Kids",108
"23","Movie","Special Interest",103
"24","Movie","Western",100
"25","Movie","Romance",94
"26","TV Show","Comedy",94
"27","Movie","Music Videos and Concerts",93
"28","Movie","Action, Comedy",79
"29","Movie","Drama, Horror, Suspense",73
"30","Movie","Drama, International",62
"31","Movie","Action, Science Fiction",61
"32","Movie","Comedy, Drama, Romance",61
"33","Movie","Comedy, Romance",57
"34","Movie","Comedy, Horror",56
"35","Movie","Fitness",55
"36","Movie","Arts, Entertainment, and Culture, Comedy",53
"37","Movie","Action, Adventure",50
"38","Movie","Science Fiction",50
"39","TV Show","Documentary",50
"40","TV Show","Drama, Suspense",50
"41","Movie","Drama, Kids",40
"42","TV Show","Special Interest",40
"43","TV Show","Comedy, Drama",39
"44","Movie","Arts, Entertainment, and Culture",38
"45","Movie","Drama, Special Interest",37
"46","TV Show","Drama, Romance",36
"47","Movie","Horror, Science Fiction",34
"48","Movie","Action, Adventure, Drama",33
"49","Movie","Action, Comedy, Drama",33
"50","TV Show","Documentary, Drama, Unscripted",32
"51","Movie","Drama, Horror",31
"52","Movie","Arthouse, Drama",30
"53","Movie","Drama, Science Fiction",29
"54","TV Show","Unscripted",29
"55","Movie","Action, Horror",28
"56","Movie","Comedy, Kids",28
"57","Movie","Documentary, Sports",28
"58","Movie","Action, Adventure, Suspense",27
"59","Movie","Comedy, Drama, International",27
"60","Movie","Comedy, International",27
"61","Movie","Action, Drama, International",25
"62","Movie","Drama, International, Romance",25
"63","Movie","Drama, Romance, Suspense",24
"64","Movie","Action, Adventure, Comedy",23
"65","Movie","Action, International",23
"66","Movie","Comedy, Drama, Suspense",23
"67","Movie","Comedy, Suspense",23
"68","TV Show","Special Interest, Unscripted",23
"69","TV Show","Action",22
"70","Movie","Arts, Entertainment, and Culture, Drama",21
