"","word","freq"
"life","life",1424
"one","one",1208
"new","new",1096
"will","will",1033
"love","love",1029
"story","story",993
"world","world",943
"young","young",912
"family","family",874
"two","two",820
"man","man",689
"find","find",651
"friends","friends",651
"series","series",628
"time","time",584
"film","film",578
"must","must",555
"get","get",494
"can","can",486
"years","years",468
"home","home",466
"lives","lives",458
"first","first",452
"woman","woman",450
"girl","girl",438
"back","back",436
"help","help",425
"kids","kids",410
"day","day",397
"father","father",396
"together","together",395
"take","take",393
"town","town",392
"finds","finds",387
"takes","takes",384
"comedy","comedy",373
"best","best",371
"make","make",370
"city","city",366
"way","way",366
"war","war",358
"people","people",357
"son","son",344
"three","three",343
"group","group",343
"little","little",343
"death","death",342
"now","now",339
"old","old",339
"true","true",335
"journey","journey",329
"like","like",327
"around","around",324
"murder","murder",323
"friend","friend",320
"past","past",317
"just","just",311
"school","school",307
"special","special",305
"mother","mother",303
"becomes","becomes",302
"set","set",301
"gets","gets",300
"wife","wife",299
"learn","learn",296
"daughter","daughter",293
"fun","fun",292
"children","children",292
"show","show",288
"comes","comes",287
"behind","behind",283
"police","police",283
"team","team",281
"become","become",277
"come","come",276
"live","live",270
"mysterious","mysterious",269
"falls","falls",266
"based","based",264
"soon","soon",263
"along","along",261
"night","night",261
"goes","goes",258
"small","small",258
"also","also",250
"secret","secret",250
"american","american",249
"save","save",249
"meets","meets",248
"boy","boy",246
"house","house",245
"songs","songs",244
"movie","movie",242
"things","things",242
"follows","follows",238
"work","work",237
"however","however",236
"stories","stories",236
"men","men",235
"big","big",234
"decides","decides",233
"local","local",233
"history","history",231
"many","many",227
"year","year",226
"discovers","discovers",225
"join","join",225
"forced","forced",224
"high","high",220
"dark","dark",219
"classic","classic",219
"season","season",217
"baby","baby",217
"real","real",211
"turns","turns",209
"fight","fight",208
"discover","discover",207
"brother","brother",207
"begins","begins",204
"never","never",202
"crime","crime",202
"beautiful","beautiful",200
"relationship","relationship",198
"meet","meet",198
"–","–",197
"women","women",196
"end","end",195
"video","video",194
"different","different",194
"face","face",194
"gang","gang",194
"adventure","adventure",193
"events","events",193
"living","living",192
"husband","husband",192
"even","even",191
"last","last",189
"great","great",189
"country","country",189
"drama","drama",189
"john","john",189
"star","star",189
"everything","everything",187
"named","named",187
"battle","battle",186
"village","village",186
"four","four",185
"returns","returns",185
"parents","parents",185
"music","music",184
"every","every",184
"killer","killer",179
"documentary","documentary",178
"across","across",176
"hes","hes",176
