"","date","revenue","cost","profit","orders_count","produced_items","users_active","users_dropped_out","complaints_opened","complaints_closed","profit.perc_prev_month","profit.perc_prev_year","cost.perc_prev_month","cost.perc_prev_year","orders_count.perc_prev_month","orders_count.perc_prev_year","revenue.perc_prev_month","revenue.perc_prev_year","produced_items.perc_prev_month","produced_items.perc_prev_year","users_active.perc_prev_month","users_active.perc_prev_year","users_dropped_out.perc_prev_month","users_dropped_out.perc_prev_year","complaints_opened.perc_prev_month","complaints_opened.perc_prev_year","complaints_closed.perc_prev_month","complaints_closed.perc_prev_year"
"1",2015-01-01,81920,16055,65865,4096,3273,20290,4035,2772,2389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2015-02-01,75240,14620,60620,3762,2980,18576,3720,2534,2198,1.9,NA,0.82,NA,1.69,NA,1.69,NA,0.8,NA,1.36,NA,2.07,NA,1.21,NA,1.86,NA
"3",2015-03-01,70840,16080,54760,3542,3278,18074,3606,2759,2384,-18.41,NA,-0.66,NA,-14.96,NA,-14.96,NA,-0.65,NA,-12.12,NA,-12.45,NA,-1.66,NA,-2.03,NA
"4",2015-04-01,66560,15380,51180,3328,3136,17092,3418,2639,2281,-3.42,NA,-1.17,NA,-2.91,NA,-2.91,NA,-1.14,NA,-2.28,NA,-2.05,NA,-1.16,NA,-1.13,NA
"5",2015-05-01,72140,16430,55710,3607,3348,18334,3674,2782,2410,5.34,NA,3.38,NA,4.89,NA,4.89,NA,3.32,NA,3.81,NA,4.02,NA,2.02,NA,2.25,NA
"6",2015-06-01,71160,15410,55750,3558,3142,18012,3586,2717,2357,3.41,NA,-3.08,NA,1.93,NA,1.93,NA,-3.02,NA,1.52,NA,0.86,NA,0.92,NA,1.06,NA
"7",2015-07-01,73880,16130,57750,3694,3288,18682,3721,2822,2454,0.25,NA,1.3,NA,0.47,NA,0.47,NA,1.27,NA,0.37,NA,0.42,NA,0.51,NA,0.76,NA
"8",2015-08-01,73900,15830,58070,3695,3228,18686,3759,2820,2442,0.55,NA,-1.86,NA,0.03,NA,0.03,NA,-1.82,NA,0.02,NA,1.02,NA,-0.07,NA,-0.49,NA
"9",2015-09-01,69160,15705,53455,3458,3201,17612,3513,2692,2332,-4.88,NA,2.52,NA,-3.29,NA,-3.29,NA,2.47,NA,-2.61,NA,-3.43,NA,-1.36,NA,-1.32,NA
"10",2015-10-01,75940,15670,60270,3797,3196,19094,3845,2810,2438,9.11,NA,-3.44,NA,6.26,NA,6.26,NA,-3.38,NA,4.92,NA,5.92,NA,1.02,NA,1.17,NA
"11",2015-11-01,76100,15755,60345,3805,3211,19000,3782,2716,2360,3.46,NA,3.89,NA,3.55,NA,3.55,NA,3.82,NA,2.82,NA,1.64,NA,-0.12,NA,0.03,NA
"12",2015-12-01,76020,15970,60050,3801,3256,19110,3841,2845,2469,-3.7,NA,-1.91,NA,-3.33,NA,-3.33,NA,-1.87,NA,-2.67,NA,-1.72,NA,1.37,NA,1.24,NA
"13",2016-01-01,74960,15840,59120,3748,3230,18898,3771,2771,2403,-1.55,-10.24,-0.81,-1.34,-1.39,-8.5,-1.39,-8.5,-0.8,-1.31,-1.11,-6.86,-1.82,-6.54,-2.6,-0.04,-2.67,0.59
"14",2016-02-01,69640,15110,54530,3482,3080,17582,3528,2610,2260,-1.4,-13.15,1.97,-0.21,-0.69,-10.63,-0.69,-10.63,1.93,-0.21,-0.55,-8.61,0.01,-8.43,0.69,-0.55,0.54,-0.72
