"","negative","positive"
"abnormal",3,2
"abominable",2,2
"abound",2,3
"abruptly",7,2
"absence",7,2
"absurd",10,2
"absurdity",2,2
"abundance",2,2
"abuse",29,2
"abused",10,2
"abuses",1,2
"abusive",24,2
"abyss",9,2
"accidental",11,2
"acclaim",2,3
"acclaimed",2,50
"accolade",2,1
"accomplish",2,12
"accomplished",2,7
"accomplishments",2,2
"accurate",2,5
"accusations",4,2
"accuse",1,2
"accuses",1,2
"acerbic",3,2
"achievement",2,1
"achievements",2,5
"acumen",2,1
"adaptable",2,1
"addict",10,2
"addicted",14,2
"addicting",1,2
"addicts",3,2
"admirable",2,1
"admiration",2,2
"admirer",2,2
"adorable",2,9
"adore",2,4
"adored",2,3
"adoring",2,3
"adulteration",2,2
"advanced",2,8
"advantage",2,11
"advantages",2,1
"adventurous",2,14
"adversary",5,2
"adverse",2,2
"adversity",5,2
"advocate",2,2
"advocated",2,1
"advocates",2,2
"affable",2,2
"affection",2,12
"affectionate",2,2
"affluent",2,4
"afford",2,10
"affordable",2,3
"afraid",17,2
"aggravation",1,2
"aggression",2,2
"aggressive",10,2
"agile",2,1
"agonizing",1,2
"agony",2,2
"ailing",4,2
"ailment",1,2
"aimless",4,2
"alarm",1,2
"alarmed",1,2
"alarming",4,2
"alienated",4,2
"allegation",1,2
"allegations",4,2
"allege",1,2
"allergic",3,2
"alluring",2,5
"aloof",2,2
"altercation",1,2
"amazed",2,1
"amazes",2,1
"amazing",2,71
"amazingly",2,1
"ambiguous",2,2
"ambitious",2,38
"ambivalence",1,2
"ambush",1,2
"amiable",2,2
"amicable",2,1
"amicably",2,1
"amiss",2,2
"ample",2,1
"amputate",1,2
"amuse",2,1
"amusing",2,7
"anarchist",1,2
"anarchy",3,2
"angel",2,33
"angelic",2,1
"anger",24,2
"angry",20,2
"animosity",3,2
"annihilate",1,2
"annoy",5,2
"annoyed",3,2
"annoying",8,2
"anomaly",2,2
"antagonist",2,2
"antiquated",1,2
"anxieties",3,2
"anxiety",9,2
"anxious",9,2
"anxiously",2,2
"apathetic",1,2
"apathy",1,2
"apocalypse",18,2
"apocalyptic",14,2
"appalling",2,2
"appeal",2,3
"appealing",2,2
"applaud",2,1
"appreciate",2,4
"appreciated",2,1
"apprehension",1,2
"appropriate",2,4
"approval",2,5
"approve",2,5
"archaic",2,2
"ardent",2,1
"arduous",5,2
"arrogance",3,2
"arrogant",14,2
"ashamed",1,2
"aspiration",2,1
"aspirations",2,13
"aspire",2,2
"assassin",22,2
"assassinate",7,2
"assault",12,2
"assurance",2,1
"astonishing",2,8
"astounding",2,3
"atrocious",2,2
"atrocities",4,2
"attack",67,2
"attacks",23,2
"attraction",2,20
"attractive",2,20
"audacious",2,2
"audaciously",1,2
"austere",1,2
"authentic",2,14
"authoritarian",2,2
"authoritative",2,2
"autonomous",2,1
"available",2,36
"avalanche",1,2
"avenge",35,2
"aversion",1,2
"avid",2,2
"award",2,179
"awarded",2,4
"awards",2,25
"awe",2,6
"awesome",2,49
"awesomely",2,1
"awful",6,2
"awkward",18,2
"awkwardness",4,2
"ax",2,2
"backbone",2,3
"backward",1,2
"backwoods",1,2
"bad",100,2
"badly",4,2
"baffled",3,2
"baffling",1,2
"bait",1,2
"balanced",2,2
"bankrupt",3,2
"barbarian",1,2
"barbaric",2,2
"bargain",2,3
"barren",5,2
"bash",1,2
"bastard",1,2
"battered",8,2
"beauteous",2,1
"beautiful",2,201
"beautifully",2,11
"beauty",2,61
"beckoning",2,1
"beckons",2,2
"beg",1,2
"beggar",4,2
"begging",1,2
"belated",1,2
"belie",1,2
"belligerent",2,2
"beloved",2,60
"beneficial",2,1
"benefit",2,8
"benefits",2,18
"bent",11,2
"beset",3,2
"best",2,405
"betray",5,2
"betrayal",35,2
"betrayals",2,2
"betrays",3,2
"better",2,76
"beware",1,2
"bewildered",1,2
"bewilderment",1,2
"biased",1,2
"biases",2,2
"bicker",1,2
"bickering",2,2
"bigotry",2,2
"biting",9,2
"bitingly",1,2
"bitter",17,2
"bitterly",2,2
"bitterness",2,2
"bizarre",39,2
"blackmail",16,2
"blah",3,2
"blame",5,2
"blasted",1,2
"bleak",7,2
"bleed",1,2
"blessing",2,1
"blind",33,2
"blinding",1,2
"bliss",2,2
"blistering",3,2
"blockbuster",2,6
"bloodshed",6,2
"bloodthirsty",11,2
"bloody",37,2
"bloom",2,2
"blossom",2,4
"blow",7,2
"blundering",1,2
"blunders",3,2
"blunt",2,2
"blur",4,2
"blurring",1,2
"blurs",2,2
"boastful",1,2
"bogus",1,2
"boil",3,2
"boiling",2,2
"boisterous",1,2
"bomb",20,2
"bombastic",2,2
"bonus",2,6
"boom",2,11
"booming",2,1
"boost",2,8
"bore",1,2
"bored",15,2
"boredom",3,2
"bores",1,2
"boring",8,2
"bother",1,2
"bothered",2,2
"bothersome",1,2
"boundless",2,3
"bountiful",2,1
"boycott",1,2
"brainy",2,4
"brash",6,2
"brat",3,2
"bravado",2,2
"brave",2,25
"bravery",2,7
"bravo",2,3
"brazen",1,2
"brazenly",1,2
"breach",1,2
"break",94,2
"breakdown",6,2
"breaking",30,2
"breaks",46,2
"breakthrough",2,5
"breakup",7,2
"breakups",1,2
"breathtaking",2,8
"breathtakingly",2,1
"bright",2,17
"brighter",2,4
"brightest",2,3
"brilliance",2,3
"brilliant",2,34
"brilliantly",2,3
"brimstone",1,2
"brittle",1,2
"broke",18,2
"broken",40,2
"brotherly",2,1
"brutal",73,2
"brutality",9,2
"brutalizing",1,2
"brutally",32,2
"brute",4,2
"bs",1,2
"buckle",3,2
"bug",5,2
"buggy",1,2
"bugs",5,2
"bullies",6,2
"bully",8,2
"bullying",9,2
"bum",77,2
"bump",4,2
"bumping",1,2
"bumps",3,2
"bungling",1,2
"burden",3,2
"burn",31,2
"burned",10,2
"burning",18,2
"burns",6,2
"bust",7,2
"busts",2,2
"butcher",5,2
"buzzing",1,2
"calamities",3,2
"calamity",4,2
"callous",1,2
"calm",2,12
"calming",2,13
"cancer",32,2
"cannibal",10,2
"capability",2,3
"capable",2,5
"capricious",1,2
"captivate",2,2
"captivating",2,10
"carefree",2,13
"caricature",1,2
"carnage",8,2
"carp",1,2
"cataclysmic",3,2
"catastrophe",11,2
"catastrophic",6,2
"catastrophically",2,2
"catchy",2,4
"caustic",4,2
"cautionary",3,2
"cave",12,2
"celebrate",2,40
"celebrated",2,21
"celebration",2,15
"celebratory",2,2
"chagrin",1,2
"challenging",36,2
"champ",2,5
"champion",2,38
"chaos",45,2
"chaotic",14,2
"charisma",2,5
"charismatic",2,21
"charm",2,21
"charming",2,31
"charmingly",2,2
"chatter",1,2
"cheap",7,2
"cheat",7,2
"cheated",7,2
"cheater",1,2
"cheating",17,2
"cheer",2,10
"cheerful",2,6
"cheesy",5,2
"cherish",2,1
"cherished",2,2
"chic",2,1
"childish",2,2
"chill",4,2
"chilly",1,2
"chivalry",2,1
"choke",1,2
"chore",1,2
"chronic",1,2
"chunky",1,2
"civilize",2,1
"clamorous",1,2
"clarity",2,1
"clash",29,2
"classic",2,220
"classy",2,2
"clean",2,30
"cleaner",2,4
"cleanest",2,1
"cleanliness",2,1
"clear",2,39
"clearly",2,2
"clears",2,4
"clever",2,13
"cleverly",2,2
"cliche",1,2
"clique",2,2
"clogged",1,2
"cloud",3,2
"clouding",1,2
"clueless",3,2
"clumsy",9,2
"cocky",2,2
"coerce",2,2
"coercion",1,2
"cold",50,2
"collapse",14,2
"colorful",2,46
"comfort",2,14
"comfortable",2,9
"comforting",2,1
"comical",9,2
"commitment",2,6
"compassion",2,7
"compassionate",2,5
"compatible",2,1
"competitive",2,12
"complains",1,2
"complementary",2,1
"complex",34,2
"compliant",2,1
"complicated",55,2
"complication",1,2
"compliment",2,1
"comprehensive",2,10
"compulsive",3,2
"conceited",2,2
"concern",3,2
"concerned",6,2
"concerns",1,2
"condemned",5,2
"confess",7,2
"confession",4,2
"confessions",2,2
"confidence",2,18
"confident",2,12
"confined",3,2
"conflict",34,2
"conflicted",4,2
"conflicting",1,2
"conflicts",12,2
"confront",47,2
"confrontation",7,2
"confrontational",1,2
"confused",16,2
"confusing",7,2
"confusion",9,2
"congenial",2,1
"congested",1,2
"cons",8,2
"conscientious",2,2
"conservative",12,2
"consistent",2,1
"consistently",2,2
"conspiracies",5,2
"conspiracy",29,2
"conspire",3,2
"consummate",2,2
"contagious",2,2
"contaminated",1,2
"contamination",2,2
"contempt",1,2
"contend",3,2
"contentious",1,2
"contentment",2,1
"contradict",1,2
"contradiction",1,2
"contribution",2,1
"contrived",1,2
"controversial",24,2
"controversy",8,2
"convenience",2,5
"convincing",2,7
"cool",2,22
"coolest",2,3
"cornerstone",2,2
"correct",2,6
"correctly",2,2
"corrosive",1,2
"corrupt",45,2
"corrupted",2,2
"corruption",29,2
"costly",1,2
"courage",2,31
"courageous",2,14
"courageously",2,3
"covenant",2,5
"coward",2,2
"cowardly",4,2
"cozy",2,6
"crack",10,2
"cracks",3,2
"crafty",4,2
"cramped",2,2
"cranky",1,2
"crap",1,2
"crash",44,2
"crashed",6,2
"crashes",19,2
"crashing",11,2
"craven",1,2
"craze",1,2
"crazily",1,2
"craziness",3,2
"crazy",38,2
"creative",2,27
"credible",2,5
"creep",1,2
"creeps",2,2
"creepy",15,2
"crime",214,2
"criminal",98,2
"crippled",9,2
"crippling",2,2
"crisis",60,2
"crisp",2,1
"critic",7,2
"critical",14,2
"criticisms",3,2
"criticized",1,2
"critics",6,2
"crook",9,2
"crooked",22,2
"crooks",9,2
"crowded",1,2
"crude",2,2
"cruel",23,2
"cruelly",3,2
"cruelty",2,2
"crumble",3,2
"crumbling",8,2
"crush",23,2
"crushed",1,2
"crushing",5,2
"cry",7,2
"culprit",5,2
"cure",2,19
"curse",29,2
"cursed",7,2
"cushy",2,3
"cute",2,30
"cutthroat",5,2
"cynical",8,2
"cynicism",3,2
"damage",6,2
"damaged",7,2
"damaging",2,2
"damnation",2,2
"damned",4,2
"damning",2,2
"damper",1,2
"danger",51,2
"dangerous",168,2
"daring",2,29
"dark",224,2
"darken",2,2
"darkened",1,2
"darker",18,2
"darkness",28,2
"darling",2,2
"dashing",2,6
"dastardly",1,2
"daunting",3,2
"dawn",2,17
"daze",2,2
"dazed",1,2
"dazzle",2,1
"dazzling",2,9
"dead",147,2
"deadbeat",2,2
"deadlock",1,2
"deadly",127,2
"deaf",14,2
"death",349,2
"debatable",1,2
"debauchery",5,2
"debilitating",3,2
"debt",32,2
"debts",8,2
"decadence",1,2
"decadent",1,2
"decay",1,2
"deceit",25,2
"deceitful",1,2
"deceive",1,2
"deceiving",1,2
"decent",2,5
"deception",12,2
"deceptive",3,2
"deceptively",3,2
"decisive",2,1
"decline",7,2
"declines",1,2
"declining",2,2
"decrepit",1,2
"dedicated",2,20
"defame",1,2
"defeat",2,38
"defeated",2,3
"defeating",2,8
"defeats",2,5
"defective",2,2
"defects",1,2
"defender",2,4
"defensive",4,2
"defiance",1,2
"defiant",5,2
"deficiencies",1,2
"defrauding",1,2
"deft",2,1
"defy",7,2
"degenerate",1,2
"degeneration",1,2
"dejected",2,2
"delay",2,2
"delayed",3,2
"delicacy",2,1
"delicate",2,4
"delicious",2,10
"delight",2,6
"delighted",2,1
"delightful",2,15
"delightfully",2,4
"delinquency",1,2
"delinquent",4,2
"delirious",1,2
"deluded",1,2
"delusion",4,2
"delusional",3,2
"delusions",1,2
"demise",10,2
"demon",23,2
"demonic",15,2
"denial",3,2
"denied",8,2
"denies",2,2
"dense",5,2
"deny",3,2
"deplorable",1,2
"depressed",11,2
"depressing",1,2
"depression",27,2
"deprived",2,2
"desert",41,2
"desertion",1,2
"deserving",2,1
"desirable",2,1
"desirous",2,1
"desolate",14,2
"despair",7,2
"desperate",92,2
"desperately",22,2
"desperation",5,2
"despicable",1,2
"despondent",1,2
"despot",2,2
"destiny",2,44
"destitute",8,2
"destroy",66,2
"destroyer",1,2
"destruction",34,2
"destructive",14,2
"deter",1,2
"deteriorate",1,2
"deteriorating",1,2
"detrimental",1,2
"devastate",1,2
"devastated",15,2
"devastates",1,2
"devastating",22,2
"devastation",2,2
"devil",12,2
"devilish",1,2
"devilishly",1,2
"devious",9,2
"devoid",1,2
"devout",2,4
"diabolical",6,2
"diametrically",2,2
"dick",19,2
"dictator",6,2
"dictatorial",1,2
"die",41,2
"died",35,2
"dies",50,2
"difficult",34,2
"difficulties",15,2
"difficulty",4,2
"dignity",2,4
"dilapidated",6,2
"dilemma",7,2
"diligence",2,2
"diligent",2,1
"diligently",2,2
"dim",2,2
"din",1,2
"ding",1,2
"diplomatic",2,4
"dire",5,2
"dirt",8,2
"dirtbag",1,2
"dirty",28,2
"disabled",1,2
"disadvantage",1,2
"disagree",1,2
