"","word","sentiment","n"
"1","love","positive",1035
"2","best","positive",405
"3","like","positive",350
"4","death","negative",349
"5","murder","negative",336
"6","fun","positive",328
"7","mysterious","negative",270
"8","falls","negative",265
"9","work","positive",242
"10","dark","negative",224
"11","classic","positive",220
"12","crime","negative",214
"13","beautiful","positive",201
"14","great","positive",193
"15","well","positive",188
"16","killer","negative",183
"17","award","positive",179
"18","lost","negative",174
"19","winning","positive",174
"20","dangerous","negative",168
"21","good","positive",167
"22","enjoy","positive",165
"23","evil","negative",159
"24","famous","positive",153
"25","dead","negative",147
"26","fall","negative",141
"27","hilarious","positive",141
"28","leads","positive",141
"29","top","positive",140
"30","killed","negative",134
"31","mystery","negative",134
"32","prison","negative",134
"33","revenge","negative",134
"34","deadly","negative",127
"35","lead","positive",127
"36","modern","positive",124
"37","powerful","positive",123
"38","popular","positive",121
"39","rich","positive",119
"40","struggles","negative",116
"41","kill","negative",111
"42","struggle","negative",105
"43","successful","positive",104
"44","favorite","positive",102
"45","hard","negative",102
"46","win","positive",102
"47","funny","negative",101
"48","bad","negative",100
"49","strange","negative",100
"50","wild","negative",100
"51","wrong","negative",100
"52","criminal","negative",98
"53","happy","positive",97
"54","hero","positive",97
"55","romantic","positive",97
"56","unexpected","negative",95
"57","break","negative",94
"58","perfect","positive",93
"59","struggling","negative",93
"60","desperate","negative",92
"61","greatest","positive",91
"62","loves","positive",91
"63","shark","negative",88
"64","leading","positive",87
"65","faith","positive",86
"66","right","positive",86
"67","legendary","positive",85
"68","magical","positive",85
"69","monster","negative",84
"70","trouble","negative",83
"71","peace","positive",81
"72","protect","positive",79
"73","works","positive",79
"74","bum","negative",77
"75","trapped","negative",77
"76","better","positive",76
"77","led","positive",76
"78","super","positive",76
"79","survival","positive",76
"80","gangster","negative",75
"81","gold","positive",75
"82","magic","positive",74
"83","brutal","negative",73
"84","killing","negative",73
"85","violent","negative",73
"86","fast","positive",72
"87","free","positive",72
"88","loved","positive",72
"89","problems","negative",72
"90","wealthy","positive",72
"91","amazing","positive",71
"92","ready","positive",69
"93","winner","positive",69
"94","extraordinary","positive",68
"95","master","positive",68
"96","shocking","negative",68
"97","attack","negative",67
"98","exciting","positive",67
"99","destroy","negative",66
"100","suspect","negative",65
"101","plot","negative",64
"102","tragedy","negative",64
"103","wonderful","positive",64
"104","estranged","negative",63
"105","troubled","negative",63
"106","stolen","negative",62
"107","tragic","negative",62
"108","beauty","positive",61
"109","beloved","positive",60
"110","crisis","negative",60
"111","losing","negative",60
"112","notorious","negative",59
"113","loses","negative",57
"114","ruthless","negative",56
"115","unlikely","negative",56
"116","complicated","negative",55
"117","enough","positive",55
"118","loving","positive",55
"119","fear","negative",53
"120","hot","positive",53
"121","lover","positive",53
"122","fans","positive",52
"123","important","positive",52
"124","success","positive",52
"125","suicide","negative",52
"126","danger","negative",51
"127","humor","positive",51
"128","passion","positive",51
"129","stranger","negative",51
"130","acclaimed","positive",50
"131","cold","negative",50
"132","dies","negative",50
"133","eccentric","negative",50
"134","freedom","positive",50
"135","lose","negative",50
"136","loss","negative",50
"137","nightmare","negative",50
"138","awesome","positive",49
"139","poor","negative",48
"140","problem","negative",48
"141","confront","negative",47
"142","treasure","positive",47
"143","breaks","negative",46
"144","colorful","positive",46
"145","dying","negative",46
"146","hell","negative",46
"147","helping","positive",46
"148","honest","positive",46
"149","steal","negative",46
"150","chaos","negative",45
"151","corrupt","negative",45
"152","terror","negative",45
"153","crash","negative",44
"154","destiny","positive",44
