"","word","sentiment","n"
"1","love","positive",130
"2","bum","negative",70
"3","classic","positive",49
"4","death","negative",45
"5","dead","negative",41
"6","dark","negative",37
"7","like","positive",35
"8","lost","negative",34
"9","great","positive",32
"10","shark","negative",31
"11","bad","negative",29
"12","wild","negative",28
"13","good","positive",26
"14","killer","negative",25
"15","hell","negative",24
"16","die","negative",23
"17","murder","negative",23
"18","best","positive",22
"19","fun","positive",22
"20","kill","negative",22
"21","paradise","positive",22
"22","perfect","positive",22
"23","angel","positive",21
"24","macabre","negative",21
"25","magical","positive",21
"26","monster","negative",21
"27","evil","negative",20
"28","gold","positive",20
"29","beautiful","positive",19
"30","magic","positive",19
"31","mystery","negative",19
"32","top","positive",19
"33","funny","negative",18
"34","super","positive",18
"35","crime","negative",17
"36","silent","positive",17
"37","sweet","positive",16
"38","attack","negative",14
"39","faith","positive",14
"40","hard","negative",14
"41","hero","positive",14
"42","hot","positive",14
"43","golden","positive",13
"44","happy","positive",13
"45","miss","negative",13
"46","curse","negative",12
"47","dangerous","negative",12
"48","fear","negative",12
"49","haunting","negative",12
"50","master","positive",12
"51","miracle","positive",12
"52","terror","negative",12
"53","wrong","negative",12
"54","burn","negative",11
"55","deadly","negative",11
"56","devil","negative",11
"57","zombie","negative",11
"58","beauty","positive",10
"59","cold","negative",10
"60","dawn","positive",10
"61","grace","positive",10
"62","lies","negative",10
"63","mad","negative",10
"64","right","positive",10
"65","treasure","positive",10
"66","wonderful","positive",10
"67","dirty","negative",9
"68","falling","negative",9
"69","free","positive",9
"70","fury","negative",9
"71","greatest","positive",9
"72","honor","positive",9
"73","killing","negative",9
"74","loves","positive",9
"75","nightmare","negative",9
"76","revenge","negative",9
"77","welcome","positive",9
"78","burning","negative",8
"79","grand","positive",8
"80","holy","positive",8
"81","restored","positive",8
"82","amazing","positive",7
"83","broken","negative",7
"84","crash","negative",7
"85","darkness","negative",7
"86","enemy","negative",7
"87","lucky","positive",7
"88","massacre","negative",7
"89","rage","negative",7
"90","saint","positive",7
"91","strange","negative",7
"92","stranger","negative",7
"93","unknown","negative",7
"94","wonder","positive",7
"95","blind","negative",6
"96","crazy","negative",6
"97","danger","negative",6
"98","enemies","negative",6
"99","fall","negative",6
"100","glow","positive",6
"101","odd","negative",6
"102","redemption","positive",6
"103","trap","negative",6
"104","anxiety","negative",5
"105","break","negative",5
"106","bright","positive",5
"107","desert","negative",5
"108","falls","negative",5
"109","fatal","negative",5
"110","favorite","positive",5
"111","happiness","positive",5
"112","lie","negative",5
"113","madness","negative",5
"114","modern","positive",5
"115","passion","positive",5
"116","prisoner","negative",5
"117","ready","positive",5
"118","stolen","negative",5
"119","strike","negative",5
"120","uprising","negative",5
"121","win","positive",5
"122","angry","negative",4
"123","apocalypse","negative",4
"124","better","positive",4
"125","boom","positive",4
"126","calm","positive",4
"127","cannibal","negative",4
"128","conspiracy","negative",4
"129","cool","positive",4
"130","crooked","negative",4
"131","cruel","negative",4
"132","demon","negative",4
"133","dick","negative",4
"134","disaster","negative",4
"135","enough","positive",4
"136","fabulous","positive",4
"137","fast","positive",4
"138","fist","negative",4
"139","forbidden","negative",4
"140","genius","positive",4
"141","gentle","positive",4
"142","glory","positive",4
"143","hate","negative",4
"144","invisible","negative",4
"145","joy","positive",4
"146","killed","negative",4
"147","lonely","negative",4
"148","losing","negative",4
"149","loving","positive",4
"150","luck","positive",4
"151","masters","positive",4
"152","mistress","negative",4
"153","outlaw","negative",4
"154","pain","negative",4
"155","promise","positive",4
"156","pure","positive",4
"157","rocky","negative",4
"158","rogue","negative",4
